riff-raff		流氓乌合之众不三不四的人；(riff-即兴演奏;raff=riffraff)
acoustic		“pertaining to hearing.”声学的，听觉的.=auditory；auditor，听众。a listener。utter，说出声。
e-loqu-ent	流畅的，雄辩口才的，传神有说服力的.e向外;loqu说。lucution,说话风格;colloquy谈话。
stam- mer		结结巴巴地说，口吃.er-,反复。
arch-ive['ɑrkaɪv]	存档，档案馆，藏书馆。arch,建筑。(来自希腊语:原意政府大楼.)	
Neo-Classical Era	新古典主义时代
kempt		整洁的。来自comb方言。... from a hitherto unkempt part of her mental library.
male-vol-ent	恶毒的。mal-坏,恶毒;vol-意愿。(will->vill;volunteer.)
mali-cious	恶毒的。
furrow		皱眉，犁田。her brow furrowed beneath her violet bangs. 紫色的刘海下眉头紧锁.
haunch		腰臀，大腿肉。(hip-->haunch) Twilight Sparkle slumped to her haunches.蹲坐在地上。
spine		脊柱，脊，刺。hey Mr green spines.嘿绿刺毛的小家伙。
flabber-gast	哑然失色，大吃一惊。flabby，松弛软弱。(flap轻轻拍打翅膀-->下垂,松弛)	，gast[废]惊吓。(gast-ric,胃的。受惊吓和胃部不适相关。)
errant		犯错误的;不定的;出格的(仅用于名词前正式用语）err-错误。Twilight scratched her head with an errant hoof.
swirl		漩涡。starswirl，星璇。
Nebula		星云
uncanny		不可思议/危险的.(canny<--can，精明能干节约的)."it cant be."
gulp		倒吸一口气，深吸气
dough		生面团，现钱。doughnut甜甜圈。
hitch		钩子，挫折。Our first year in class went off without a hitch!
ketchup		番茄酱。
tub		浴缸
hypo-chondriac	疑心病,怀疑有病。hypo-假的。Don't be such a hypochondriac!—there's nothing wrong with you.
ailment		病，病理学;不安。ail-,同ill,病。
groan		牢骚，咕哝
waddle		像鸭子一样摇摇摆摆走
nostril		鼻孔。nose鼻子,tril洞。my nostrils flaring.我鼻孔微张。(flare火焰,(鼻孔)张开 )
unprecedented	前所未有的。pre-ced-ent，先例。pre前;ced行进.
apprentice	学徒
mentor		导师
solace		安慰。sol-同情。很适合用在solar(celestia)上呢
in-cess-ant	不停的。in- 不;cess走/前进;-ant(adj)
quirk		怪癖;奇怪。queer(奇怪)的强化形式。
almanac		编年历.来自阿拉伯语借词:al-manac.很多来自阿拉伯语的借词都是以al-开头的,它相当于英语里的定冠词the,如:alcohol, algebra, etc.
pant		喘息，脉动。a panting breath
fumble		摸索，笨拙地尝试处理。-umble,拟声词，形容笨拙的样子。bumble跌跌撞撞笨手笨脚，stumble绊倒跌跌撞撞。
sill		窗沿，门槛。edge,建筑物的界限处
trail		拖，踪迹，跟踪，小径-->trailing off,渐渐式微下去。Her words were already trailing off after seeing the expression on my face.
yank		拉，拽I yanked on my sweaterjacket's hood strings.
re-sem-ble	像。re-表强调；sem-=sam，一样。seem，same。Her voice resembled that of a helpless, whimpering foal.
forte ['fɔrte]	长处，强的，响亮的。(钢琴谱里的f)
tempo		音乐的速度，节拍	
threnody		挽歌。=elegy。-ody，歌，诗(comedy,melody,ode(颂歌))
waft		飘荡。来源于wave变体。
goof		愚笨的呆呆的
pre-cipice	['presɪpɪs]	悬崖。pre-前方；cip，头。
forelimb		前肢，前蹄。(limb肢，树干)
dangle		悬挂，摇晃地悬挂着。拟声词。
maestro		大师。意大利语mastrer
artifice		诡计,花里胡哨华而不实的东西,巧妙的办法。art-技艺,fact制造。是artfact(人工制品)的略微贬义版本。
fe-licity		幸福，满足。fe-吮吸哺乳。female，fecund=fertile肥沃多产的。	
harp		弹奏竖琴，喋喋不休。
scamper		蹦蹦跳跳。同e-scape。er表重复。		
incantation	咒语。in-内部，cant唱。incant，verb.念咒语，施咒
tome		大部头，大本大本的书。书房。
swarm 		蜂群，一群。(拟声词，嗡嗡声)a swarm of annoying moths.一群招马厌恶的蛾子。
yelp		=yell，叫出声
double-take	n. 愣了一会才恍然大悟；过后才有所反应。
re-agent		反应物，试剂。	
snippet		小段，小部分，小道消息。不知天高地厚的年轻人。snip截断。
recital		背诵-->独奏会。
nudge		用肘轻推。I stealthily nudged the box of bits with my rear left hoof, hiding it beyond view of a green bush behind me.
sapphire 	['sæfaɪə]	蓝宝石。her sapphire eyes 	
smashing 	粉碎的惨重的-->极好的(??)
con-sec-utive 	连续的。con-强调;sec-连续的(sequence)After four consecutive days of performing in the center of Ponyville, I had once again accumulated enough money.
procure		获得，取得 I've taken advantage of my “situation” before, procuring many things that I've not been entirely proud of.

If the need ever comes up,, I just may take you up on that offer.如果哪天我有需要，就恭敬不如从命了。

snatch		伸手去拿取I breathed happily and snatched my things up.
squat		蹲坐。I squatted behind a tree in the front yard.
teeter		=tooter,摇摇晃晃地走
bleary		视线模糊地(blear,使模糊不清)
fiddle		摆弄。
stifle		窒息。Stifling a whimper, Derpy smiled and scrambled up on all fours.
hom-uncul-us	矮人，侏儒。homo-人，uncul-小词后缀。
golem		有生命的假人
flimsy		脆弱浅薄的,薄纸。来自film(薄片,胶片) flimflam，花言巧语欺骗。
slumber		睡眠，麻木。来自sleep
aspire		渴望。a-同ad-，向前。spire呼吸。(respire)
residual [rɪ'zɪdjʊəl]	残余的
crochet[ˈkrəʊʃeɪ]	编织，做针线活。词源同crook弯钩。
nost-algia		思乡病。algia，痛。
hamster		仓鼠。
mannequin	人体模型，服装模特儿
denizen		＝citizen，居民。
shed		(棚子小屋)v.流，吐露，去除。shed a tear，流眼泪。
jigsaw		拼图。jig，摇摆。saw锯子。
stubble		胡须发碴。
graze		放牧，擦伤。
clover		三叶草，苜蓿muxu。你见过好多的。
dojo		道场，柔道馆。
roux		调味用的乳酪面粉糊。
dainty		娇小精美的美味的。来自法语，词源同dignity尊贵，字母g脱落。
whelp		幼兽，幼崽。human whelp，人类幼崽。
pastry		油酥点心，糕点。pasta面团。
dough		生面团、
jukebox		唱片机。
smith		工匠。打工的
rack		行李架。
cauldron		大锅。calidus-热的。
interception	拦截阻止。
weenie		窝囊废(爱称)。细小的，微小的，来自weensy，拟声词，很小的声音。
renovate		翻新。re-重新，nov新的。同new，novel。
patsy		懦夫。
bluff		吓唬。
nibble		轻咬❤
